放假了
穷开心
小跳蛙
像风一样
看我72变
纯真姑娘
眉飞色舞
蚂蚁快跑
快乐崇拜
不如跳舞
酸酸甜甜就是我
阳光彩虹小白马
肆无忌惮
美好事物
啷个哩个啷
旅行的意义
下一站茶山刘
猪之歌
忘忧草
我乐意
嘻唰唰
睫毛弯弯
豆浆油条
你若成风
有何不可
你需要什么
出去走走
三天三夜
看海计划
照顾自己
祝你幸福
完美的一天
爱的天灵灵
灵魂的重量
蝴蝶的时间
火星人来过
最浪漫的事
每一句都很甜
像风一样自由
来自天堂的魔鬼
山外小楼夜听雨
别看我只是一只羊
世界上的另一个我
听妈妈讲那过去的事情
晚安喵
卡路里
我怎么这么好看
不开心就要消你呀
阳光女孩 阳光男孩
感觉自己是巨星
To Sylvie
圣诞下雨了
亲爱的提奥
沼泽地
12AM
爱情总在时间里分叉
告白
荔枝糖的味道
胭脂香
环游星空
呢喃（Talking to the star）
Eleven Weeks
三得利
Dopamine
你的名字
毛绒玩具
例外
查理
手腕
你是水瓶星（You Are My Aquarius）
@You
宝贝
去爱吧
沙滩
伞下
那一年的我们(First love)
Something About You
Tell Me
框不住的爱
春天在这里
We Can Dance
U
尘埃
什么都一样
热寂宇宙
bubble gum
一出8米厘独立电影
安了晚安
怎么样告白才能成功呢？
变得
Slow Down
台北夜空下
我坐在冰凉的马桶上想你
她的孤岛
春节序曲
财神到
亲情
家
老街
给你们
冬天快乐
稳稳的幸福
摇滚这个春晚
最好的未来
回家的路 (Live)
新年快乐
China-X
过年喽
家乡
年
故乡
在他乡
好春光
喜气洋洋
心里日记
常回家看看
外婆的澎湖湾
父亲写的散文诗
花儿为什么这样红
我们的生活充满阳光
Lunar Revel 2019
万水千山总是情
离家最近的路
大海啊,故乡
春天在哪里
龙的传人
乡愁
家
车站 (Live)
新春到
鹿港小镇
爸爸的草鞋
花又开好了
故乡的云
归家往
懂你
家
归乡
猪之歌
纤夫的爱
hometown
20岁的眼泪
我想有个家
回家吃饭
喂,老张
小镇姑娘
乡间的小路
美丽新世界
照片里的家
穷开心
回家
恭喜发财
春天花花 (粤)
两只小猪 piggy piggy
夜游
暗恋之歌
听见了吗
关于她
太阳
我们
有天下雨
骑单车去海边找你
家
晚安晚安
青原
透明雨衣 (Demo)
这世界没有你想象的苦涩
海王星
Love Is All Around
啦啦啦啦
晴雨
一切开始都是美好的
嗨噢嗨
藏进夜里，躲在光下
在那幽暗的一角我在
after 17
游月
小尘埃
⛲️
空集
礼物
小事情
普通朋友
有故事的人
不露声色
天色很暗
旅行者1号
关于风起时
Sunday Morning
送你
光年之外
你，好不好？
昨日青空
你瞒我瞒
I Am You
Please Don't Go
Dream It Possible
往后余生
心做し（Cover GUMI）
僕が死のうと思ったのは/曾经我也想过一了百了（Cover 中岛美嘉）
僕が死のうと思ったのは
父亲写的散文诗
去年夏天
起风了
大鱼
可惜没如果
遇见
后来
可能否
假装
钟无艳
空空如也 
老街
醉赤壁
说散就散
红昭愿
再也没有
可不可以
你就不要想起我
感谢你曾来过
遥不可及的你
